"","Especie","top.freq","bottom.freq","duration","meanfreq","sd","freq.median","freq.Q25","freq.Q75","freq.IQR","time.median","time.Q25","time.Q75","time.IQR","skew","kurt","sp.ent","time.ent","entropy","sfm","meandom","mindom","maxdom","dfrange","modindx","startdom","enddom","dfslope","meanpeakf"
"Zenaida_6","Zenaida",1.1061,0.3925,0.122138311,0.67288757737833,0.162483302089416,0.695985057471264,0.540141379310345,0.745198850574713,0.205057471264368,0.0578517722878625,0.0257118987946056,0.0835636710824681,0.0578517722878625,3.31732922323152,16.8973341326732,0.884484253167383,0.962495170456737,0.85131182201864,0.601383848644315,0.615849609375,0.47373046875,0.99052734375,0.516796875,5.83333333333333,0.73212890625,0.47373046875,-2.11562150634291,0.302482160433071
"Mimus_10","Mimus",4.3172,2.3192,0.0427484089999979,3.15673125900838,0.410232993596922,3.04788235294118,2.83632941176471,3.47098823529412,0.634658823529412,0.0256462585034014,0.00854875283446712,0.0341950113378685,0.0256462585034014,1.91130491657904,6.89893831763011,0.905167381250686,0.837358875371703,0.757949940387224,0.602901851024814,3.20126953125,2.97158203125,3.74677734375,0.7751953125,1.11111111111111,3.74677734375,3.05771484375,-16.1190209441487,2.9831116203248
"Zenaida_13","Zenaida",1.2845,0.3568,0.140459058,0.691517120412459,0.177588482848283,0.713607692307692,0.599429230769231,0.742152307692308,0.142723076923077,0.0574582560296846,0.0319212533498248,0.0957637600494743,0.0638425066996496,3.91985688787644,20.7466096294298,0.841540848107023,0.948655809854351,0.798332614786485,0.469967320696262,0.571097995923913,0.38759765625,1.07666015625,0.6890625,4.5,0.38759765625,0.38759765625,0,0.216010242372047
"Mimus_22","Mimus",3.9248,1.891,0.118067033999999,2.78317259828169,0.453168255120476,2.79773583333333,2.4757175,3.06890916666667,0.593191666666667,0.0524766943814563,0.0262383471907281,0.0852746283698665,0.0590362811791383,1.06531900084732,3.87363620546958,0.951404654581893,0.964064757624698,0.917215697722501,0.714682073572492,2.35958573190789,1.93798828125,3.05771484375,1.1197265625,6.38461538461539,1.93798828125,2.02412109375,0.729524657153668,2.89663970226378
"Zenaida_23","Zenaida",0.999,0.5709,0.0793899020000026,0.711097642904088,0.0716415793570164,0.700627272727273,0.687654545454545,0.726572727272727,0.0389181818181818,0.0505194805194805,0.0216512059369202,0.0721706864564007,0.0505194805194805,3.25393027235617,13.8009254304259,0.777280384518675,0.945296254779817,0.73476023639932,0.40382374859636,0.768017578125,0.64599609375,0.99052734375,0.34453125,4.5,0.81826171875,0.99052734375,2.16986821573346,0.475425996555118
"Mimus_34","Mimus",3.3539,1.9624,0.0875324570000018,2.69323988958947,0.270321251002983,2.6524,2.5259,2.9054,0.3795,0.0538635967207396,0.0336647479504622,0.060596546310832,0.0269317983603698,1.58462333072057,5.28641918923059,0.917294451054798,0.935073440841484,0.85773767861261,0.620550209512648,2.70087890625,2.36865234375,3.31611328125,0.9474609375,1.90909090909091,3.31611328125,2.71318359375,-6.88806995900946,2.63722394808071
"Zenaida_35","Zenaida",0.9633,0.4995,0.0692117089999993,0.671178426818545,0.104744876599739,0.65893125,0.61545,0.7314,0.11595,0.0307583774250441,0.015379188712522,0.0538271604938272,0.0384479717813051,2.46953665046581,9.02036062087648,0.882076654925279,0.934067797759025,0.823919398520703,0.661714128659347,0.654609375,0.55986328125,0.90439453125,0.34453125,2.75,0.64599609375,0.73212890625,1.24448324921439,0.388954078494095
"Thryomanes_37","Thryomanes",7.8138,4.1388,1.306879928,5.02211989387532,0.542682705325981,4.9293612244898,4.64237142857143,5.25538163265306,0.613010204081633,0.638784356792044,0.334043195753638,0.925944297001312,0.591901101247674,2.31725515730482,9.21773672170317,0.898589208300553,0.861263358986875,0.773921959890291,0.300539509308805,4.97970703125,4.17744140625,7.79501953125,3.617578125,20.9523809523809,4.17744140625,4.34970703125,0.131814424040952,4.71254998154528
"Mimus_38","Mimus",3.3182,1.8197,0.126209588000002,2.55343372081754,0.248283539301339,2.52534285714286,2.40641428571429,2.67598571428571,0.269571428571428,0.0863563671082468,0.0332139873493257,0.106284759517842,0.0730707721685165,1.40390659425942,3.9253724235853,0.888596904659709,0.947703748797061,0.842126617715471,0.45608215109336,2.23466796875,1.85185546875,2.97158203125,1.1197265625,3.53846153846154,2.28251953125,2.45478515625,1.36491710122687,2.46428011195866
"Mimus_39","Mimus",3.1755,1.6056,0.116031395,2.51749873009415,0.214776596473927,2.50268571428571,2.4250532967033,2.62344725274725,0.198393956043956,0.0819047619047619,0.0341269841269841,0.102380952380952,0.0682539682539683,2.19712781443547,7.46753628304046,0.847027635564516,0.941775238187504,0.797709653235171,0.350238733496303,2.55048828125,2.11025390625,2.97158203125,0.861328125,2,2.45478515625,2.45478515625,0,2.46428011195866
